stop_id,stop_name,stop_lat,stop_lon,location_type
61,Chanate Rd. @ County Farm Rd.,38.469528,-122.703957,0
62,Parker Hill Rd. @ Chanate Rd.,38.471966,-122.703392,0
63,Parker Hill Rd. @ Parker Hill Ct.,38.478729,-122.704773,0
64,Stagecoach Rd. @ Fountaingrove Pkwy.,38.486214,-122.710556,0
65,Hearn Ave. @ Dutton Ave.,38.414433,-122.724365,0
66,Fountaingrove Pkwy @ Thomas Harris,38.479946,-122.720078,0
67,Chanate Rd. @ Terra Linda,38.467434,-122.712967,0
68,HWY 12 @ 4620 (Downey Savings & Loan),38.45977,-122.672333,0
69,Parker Hill Rd. @ Hidden Pine Ct.,38.480835,-122.704742,0
70,Mendocino Ave. @ Administration Dr.,38.464714,-122.719368,0
71,Mendocino Ave. @ Schurman Dr.,38.462849,-122.718239,0
72,Mendocino Ave. @ Clement St.,38.459324,-122.717369,0
74,Fountaingrove Pkwy @ Varena Apts.,38.483891,-122.712387,0
75,Mendocino Ave. @ Ridgway Ave. (SRHS),38.450958,-122.717659,0
76,Mendocino Ave. @ Benton St.,38.448051,-122.717751,0
77,Healdsburg Ave. @ 10th St.,38.444061,-122.717888,0
78,B Street @ Macy's,38.440865,-122.716667,0
79,Santa Rosa Ave. @ Burt St. (SR Town Center) n,38.410152,-122.713379,0
81,Sonoma Ave. @ Gray Ct.,38.439232,-122.706566,0
82,Sonoma Ave. @ Brookwood Ave.,38.440441,-122.702171,0
83,Sonoma Ave. @ Doyle Park Dr.,38.441528,-122.698219,0
84,Sonoma Ave. @ Hoen Ave.,38.442505,-122.694641,0
85,Sonoma Ave. @ Doctor's Park,38.443287,-122.691772,0
86,Sonoma Ave. @ Church St.,38.444016,-122.689133,0
88,Hahman Dr. @ Patio Ct.,38.441998,-122.685188,0
89,Hahman Dr. @ Hoen Ave. (MHS),38.438835,-122.685478,0
90,Hoen Ave. @ Cypress Way,38.437477,-122.681221,0
91,Hoen Ave. @ Moore Rd.,38.437481,-122.67746,0
92,Hoen Ave. @ Cypress / Woodward Wy.,38.438572,-122.674011,0
93,Montgomery Dr. @ Shortt Rd.,38.445553,-122.691986,0
94,Hearn Ave. @ West Ave.,38.414379,-122.726425,0
95,Yulupa Ave. @ Douglas Dr.,38.438229,-122.670456,0
96,Yulupa Ave. @ Hoen,38.43988,-122.671715,0
97,Yulupa Ave. @ Mayette Dr.,38.442169,-122.6735,0
98,Stony Point Rd. @ Giffen Ave.,38.417801,-122.740051,0
99,Yulupa Ave. @ Claremont Dr.,38.446781,-122.677048,0
100,Santa Rosa Ave. @ Burt St. (SR Town Center) s,38.408871,-122.713684,0
101,Sonoma Ave. @ Yulupa Ave.,38.447205,-122.678169,0
102,Sonoma Ave. @ Franquette Ave.,38.446049,-122.68235,0
104,Sonoma Ave. @ Shortt Rd.,38.443718,-122.690941,0
105,Sonoma Ave. @ Rosedale St.,38.442719,-122.694603,0
106,Sonoma Ave. @ Doyle Park Dr.,38.441772,-122.698074,0
107,Sonoma Ave. @ Sotoyome St. (1111),38.441261,-122.699913,0
108,Sonoma Ave. @ Brookwood Ave.,38.440357,-122.7033,0
109,Sonoma Ave. @ Gray Ct.,38.439686,-122.705658,0
110,Sonoma Ave. @ E St.,38.438694,-122.708908,0
111,Yulupa Ave. @ Neotoma Ave. (7-11 Store),38.428303,-122.668175,0
112,5th St. @ Morgan St.,38.438961,-122.719467,0
113,Wilson St. @ 6th St.,38.438911,-122.721725,0
114,West 8th St. @ Donahue St.,38.439777,-122.723846,0
115,Donahue St. @ West 9th St.,38.441628,-122.725288,0
117,West 9th St. @ Kingwood,38.441765,-122.731689,0
118,West 9th St. @ Link Ln.,38.441807,-122.734138,0
119,West 9th St. @ Simpson Pl.,38.441666,-122.73806,0
120,West 9th St. @ Agnew Pl.,38.441528,-122.741356,0
121,West 9th St. @ Stony Point Rd.,38.441063,-122.74427,0
122,Stony Point Rd. @ Finley Park,38.44239,-122.748306,0
123,West College Ave. @ Finley Center,38.445091,-122.74939,0
124,West College Ave. @ Ridley Ave.,38.445141,-122.745903,0
125,West College Ave. @ Monroe Hall,38.445118,-122.743767,0
126,West College Ave. @ Clover Dr.,38.445313,-122.73967,0
127,West College Ave. @ Link Ln.,38.44553,-122.734421,0
128,West College Ave. @ Maxwell Ct.,38.445713,-122.729881,0
130,College Ave. @ Glenn St.,38.445625,-122.720642,0
131,Hoen Ave. @ Tahoe St.,38.440102,-122.669708,0
132,Hoen Ave. @ Sierra Creek (London House),38.441368,-122.666122,0
133,Mendocino Ave. @ 7th St.,38.442581,-122.715416,0
134,Mendocino Ave. @ Cherry St.,38.444542,-122.716873,0
135,Mendocino Ave. @ College Ave.,38.445938,-122.71756,0
136,Mendocino Ave. @ Benton St.,38.447754,-122.717499,0
137,Mendocino Ave. @ Nason St.,38.449978,-122.717415,0
139,Pacific Ave. @ Beaver St.,38.453148,-122.711617,0
140,Pacific Ave. @ North St.,38.453041,-122.707664,0
141,Pacific Ave. @ Spring St.,38.452908,-122.702744,0
142,Bryden Lane @ Austin Ct.,38.451073,-122.698181,0
143,4th St. @ Rogers Way,38.450115,-122.692825,0
144,4th St. @ Farmers Ln.,38.449429,-122.689156,0
