trip_id,route_id,service_id,trip_headsign,block_id
506_TMS581,8,2,Loop,610
3_TMS533,1,1,Loop,110
394_TMS168,17,1,Loop,122
71_TMS504,3,1,Loop,116
15_TMS545,1,1,Loop,112
636_TMS745,21,2,Loop,606
299_TMS129,12,1,Loop,115
570_TMS624,12,2,Loop,605
207_TMS407,9,1,Loop,103
149_TMS49,6,1,Loop,112
728_TMS483,17,3,Loop,702
591_TMS242,13,2,Loop,605
462_TMS184,3,2,Loop,607
641_TMS570,1,3,Loop,716
42_TMS279,2,1,Loop,106
281_TMS111,12,1,Loop,113
179_TMS370,8,1,Loop,107
30_TMS267,2,1,Loop,108
632_TMS741,21,2,Loop,602
343_TMS145,14,1,Loop,119
32_TMS269,2,1,Loop,107
62_TMS495,3,1,Loop,115
212_TMS412,9,1,Loop,123
134_TMS34,6,1,Loop,104
546_TMS437,10,2,Loop,611
720_TMS665,13,3,Loop,712
244_TMS75,10,1,Loop,120
251_TMS81,11,1,Loop,117
213_TMS413,9,1,Loop,103
494_TMS217,6,2,Loop,607
237_TMS68,10,1,Loop,120
618_TMS705,16,2,Loop,601
185_TMS376,8,1,Loop,107
536_TMS611,9,2,Loop,613
522_TMS597,9,2,Loop,601
523_TMS598,9,2,Loop,604
181_TMS372,8,1,Loop,107
141_TMS41,6,1,Loop,111
305_TMS632,13,1,Loop,102
235_TMS66,10,1,Loop,120
132_TMS32,6,1,Loop,104
483_TMS206,6,2,Loop,604
724_TMS479,16,3,Loop,713
705_TMS459,11,3,Loop,701
38_TMS275,2,1,Loop,107
183_TMS374,8,1,Loop,107
396_TMS170,17,1,Loop,122
166_TMS357,8,1,Loop,105
110_TMS12,5,1,Loop,106
454_TMS176,3,2,Loop,607
685_TMS613,9,3,Loop,705
292_TMS122,12,1,Loop,114
409_TMS715,21,1,Loop,109
564_TMS621,12,2,Loop,610
255_TMS85,11,1,Loop,119
572_TMS625,12,2,Loop,610
736_TMS749,21,3,Loop,705
43_TMS280,2,1,Loop,108
399_TMS173,17,1,Loop,122
108_TMS10,5,1,Loop,105
29_TMS266,2,1,Loop,107
622_TMS252,17,2,Loop,614
194_TMS394,9,1,Loop,102
55_TMS312,3,1,Loop,113
550_TMS442,11,2,Loop,611
45_TMS282,2,1,Loop,108
130_TMS30,6,1,Loop,104
472_TMS195,5,2,Loop,612
65_TMS498,3,1,Loop,115
280_TMS110,12,1,Loop,115
519_TMS594,9,2,Loop,601
354_TMS156,14,1,Loop,119
210_TMS410,9,1,Loop,123
215_TMS415,9,1,Loop,103
97_TMS330,5,1,Loop,107
731_TMS486,17,3,Loop,703
192_TMS383,8,1,Loop,107
371_TMS676,16,1,Loop,114
242_TMS73,10,1,Loop,120
431_TMS559,1,2,Loop,612
608_TMS695,16,2,Loop,604
565_TMS226,12,2,Loop,613
719_TMS664,13,3,Loop,711
89_TMS319,4,1,Loop,121
31_TMS268,2,1,Loop,105
0_TMS530,1,1,Loop,110
496_TMS219,7,2,Loop,603
76_TMS509,3,1,Loop,116
447_TMS300,2,2,Loop,602
740_TMS753,21,3,Loop,704
36_TMS273,2,1,Loop,106
602_TMS472,14,2,Loop,608
14_TMS544,1,1,Loop,110
283_TMS113,12,1,Loop,114
452_TMS175,3,2,Loop,604
554_TMS446,11,2,Loop,611
282_TMS112,12,1,Loop,116
657_TMS327,4,3,Loop,710
422_TMS728,21,1,Loop,111
652_TMS518,3,3,Loop,715
637_TMS746,21,2,Loop,612
433_TMS561,1,2,Loop,606
365_TMS670,16,1,Loop,114
467_TMS190,4,2,Loop,610
